phase,absmag,is_extrapolated,source_name,band,magsys,peak_abs_mag_input,phase_zero,native_phase_min,native_phase_max,peak_phase_original
-30.0,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.9,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.799999999999997,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.699999999999996,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.599999999999994,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.499999999999993,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.39999999999999,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.29999999999999,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.19999999999999,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-29.099999999999987,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.999999999999986,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.899999999999984,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.799999999999983,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.69999999999998,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.59999999999998,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.49999999999998,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.399999999999977,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.299999999999976,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.199999999999974,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-28.099999999999973,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.99999999999997,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.89999999999997,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.79999999999997,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.699999999999967,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.599999999999966,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.499999999999964,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.399999999999963,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.29999999999996,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.19999999999996,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-27.09999999999996,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.999999999999957,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.899999999999956,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.799999999999955,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.699999999999953,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.59999999999995,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.49999999999995,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.39999999999995,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
-26.299999999999947,50.0,True,salt2,sdssr,ab,-19.3,peak_in_selected_band,-20.297392811895712,48.72974594918984,1.2497737642766638
