phase,absmag,is_extrapolated,source_name,band,magsys,peak_abs_mag_input,phase_zero,native_phase_min,native_phase_max,peak_phase_original
-30.0,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.9,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.799999999999997,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.699999999999996,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.599999999999994,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.499999999999993,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.39999999999999,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.29999999999999,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.19999999999999,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-29.099999999999987,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.999999999999986,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.899999999999984,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.799999999999983,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.69999999999998,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.59999999999998,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.49999999999998,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.399999999999977,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.299999999999976,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.199999999999974,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-28.099999999999973,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.99999999999997,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.89999999999997,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.79999999999997,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.699999999999967,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.599999999999966,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.499999999999964,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.399999999999963,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.29999999999996,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.19999999999996,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-27.09999999999996,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.999999999999957,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.899999999999956,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.799999999999955,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.699999999999953,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.59999999999995,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.49999999999995,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.39999999999995,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.299999999999947,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.199999999999946,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-26.099999999999945,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.999999999999943,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.89999999999994,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.79999999999994,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.69999999999994,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.599999999999937,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.499999999999936,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.399999999999935,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.299999999999933,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.199999999999932,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-25.09999999999993,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-24.99999999999993,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-24.899999999999928,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
-24.799999999999926,50.0,True,hsiao,sdssg,ab,-19.3,peak_in_selected_band,-19.337200773488032,113.9961325598453,0.2895817258689839
